customer_id,customer_name,email,city,state_or_region,country,signup_date,membership_tier
AMA-C2939,James Khan,,denver,CO,US,03/19/2021,Prime Student
AMA-C3426,Carlos Singh,carlos.singh648@example.com,New York,NY,US,07-Mar-2023,Non-Prime
AMA-C3628,Aarav Smith,aarav.smith827@example.com,Los Angeles,CA,US,12/07/2025,Prime Student
AMA-C10124,Vivaan Rossi,vivaan.rossi449@example.com,Seattle,WA,US,04/19/2024,Non-Prime
AMA-C3188,John Rossi,john.rossi573@example.com,Los Angeles,CA,US,11-Jun-2021,Prime Student
AMA-C8025,Wei Suzuki,wei.suzuki790@example.com,Atlanta,GA,US,2025-06-25,Non-Prime
AMA-C6058,Noah Singh,noah.singh250@example.com,Atlanta,GA,US,26-Jun-2023,Prime
AMA-C3286,Emma Khan,emma.khan536@example.com,Seattle,WA,US,16-Sep-2024,Non-Prime
AMA-C2889,Ava Lee,ava.lee497@example.com,denver,CO,US,2025-10-01,Prime Student
AMA-C5599, Anna Johnson ,anna.johnson584@example.com,Boston,MA,US,2022-04-16,Non-Prime
AMA-C8167,Rahul Garcia,rahul.garcia269@example.com,Boston,MA,US,03-Dec-2021,Prime Student
AMA-C2302,Priya Yamada,priya.yamada543@example.com,Boston,MA,US,2022-01-01,Non-Prime
AMA-C2315,VIVAAN WANG,vivaan.wang555@example.com,Houston,TX,US,03-Jan-2025,Prime Student
AMA-C3103,Ben Tanaka,ben.tanaka118@example.com,DENVER,CO,US,2022-07-24,Non-Prime
AMA-C5323,Aditya Lee,aditya.lee247@example.com,Atlanta,GA,US,02/12/2022,Prime
AMA-C2209,Michael Brown,michael.brown149@example.com,Phoenix,AZ,US,23-Jul-2021,Prime Student
AMA-C2686,Sara Patel,sara.patel15@example.com,Phoenix,AZ,US,2023-09-30,Prime Student
AMA-C9722,Ben Anderson,ben.anderson597@example.com,Miami,FL,US,2022-01-21,Prime
AMA-C10749,Chen Tanaka,,New York,NY,US,07-Jan-2025,
AMA-C5806,John Johnson,,Los Angeles,CA,US,2025-03-19,Prime
AMA-C1968,Fatima Rossi,,Seattle,WA,US,2023-08-10,Non-Prime
AMA-C1393, Carlos Davis ,carlos.davis740 at example.com,new york,NY,US,23-Feb-2025,Non-Prime
AMA-C6282,Mohammed Wilson,mohammed.wilson203@example.com,Phoenix,AZ,US,11/17/2022,Prime
AMA-C8813,Maria Smith,,Atlanta,GA,US,01-Jun-2023,Prime Student
AMA-C2457,CHEN ROSSI,chen.rossi481@example.com,Miami,FL,US,18-Dec-2025,Non-Prime
AMA-C7777,Yuki Kim,yuki.kim34@example.com,Boston,MA,US,2023-12-04,Non-Prime
AMA-C7712,Aditya Patel,aditya.patel133@example.com,Atlanta,GA,US,11/27/2021,Prime
AMA-C10131,Emma Kim,emma.kim201@example.com,Boston,MA,US,31-Aug-2021,Non-Prime
AMA-C1918,Priya Johnson,priya.johnson269@example.com,Phoenix,AZ,US,07/12/2023,Prime Student
AMA-C5986,David Garcia,david.garcia643 at example.com,Houston,TX,US,23-May-2025,Non-Prime
AMA-C5535,James Rossi,james.rossi471@example.com,Boston,MA,US,2022-01-10,
AMA-C5047,Ken Anderson,ken.anderson608@example.com,Chicago,IL,US,10-Jun-2023,Prime
AMA-C5993,michael martin,michael.martin735@example.com,Boston,MA,US,2023-09-19,Prime
AMA-C7041,Anna Chen,anna.chen468@example.com,Chicago,IL,US,06-Sep-2024,Non-Prime
AMA-C6370,VIVAAN MÜLLER,vivaan.müller90@example.com,New York,NY,US,23-Mar-2021,Non-Prime
AMA-C7013,Yuki Davis,yuki.davis298@example.com,Chicago,IL,US,11/17/2024,Prime
AMA-C1763,Fatima Chen,fatima.chen434@example.com,Miami,FL,US,03-Mar-2024,Prime Student
AMA-C1197,Sara Tanaka,sara.tanaka211@example.com,Phoenix,AZ,US,2021-12-26,
AMA-C5033,anna kim,anna.kim331@example.com,Los Angeles,CA,US,2024-12-10,Prime
AMA-C7553,MICHAEL CHEN,michael.chen391@example.com,Atlanta,GA,US,2023-05-19,Prime
AMA-C2442,ZOE DAVIS,,HOUSTON,TX,US,10/19/2022,
AMA-C4900,Ava Kim,ava.kim60@example.com,Houston,TX,US,01/15/2025,Prime Student
AMA-C3424,Ava Garcia,ava.garcia284@example.com,Atlanta,GA,US,01/26/2023,Prime Student
AMA-C7881,Sofia Tanaka,sofia.tanaka145@example.com,Boston,MA,US,2025-05-04,Non-Prime
AMA-C2141,Yuki Davis,yuki.davis364@example.com,Los Angeles,CA,US,19-Nov-2022,Prime
AMA-C3608,Sofia Anderson,sofia.anderson129@example.com,Atlanta,GA,US,01/16/2023,Prime
AMA-C1067,Ava Singh,ava.singh834 at example.com,Phoenix,AZ,US,10/05/2025,Prime
AMA-C2501,David Smith,david.smith137 at example.com,Seattle,WA,US,03/15/2024,Non-Prime
AMA-C6778,Fatima Chen,fatima.chen760@example.com,Denver,CO,US,08/31/2023,Prime Student
AMA-C10473,Sofia Lee,sofia.lee498@example.com,Denver,CO,US,24-Aug-2025,Prime Student
AMA-C9710,Zoe Sharma,zoe.sharma315@example.com,denver,CO,US,2024-01-27,Non-Prime
AMA-C1238,Wei Wang,wei.wang277@example.com,Los Angeles,CA,US,2022-02-07,Prime Student
AMA-C1015,sara kumar,sara.kumar259@example.com,Chicago,IL,US,07/23/2024,Non-Prime
AMA-C6235,Wei Chen,wei.chen145@example.com,Miami,FL,US,11/18/2021,Prime Student
AMA-C4817,Liam Garcia,liam.garcia92@example.com,Atlanta,GA,US,24-Jan-2025,Non-Prime
AMA-C4617, Anna Sharma ,anna.sharma422@example.com,Chicago,IL,US,09-Jun-2023,Prime Student
AMA-C10232,Aarav Tanaka,aarav.tanaka273@example.com,Seattle,WA,US,25-May-2024,Prime Student
AMA-C7234,liam kumar,liam.kumar927@example.com,Miami,FL,US,2021-02-17,Prime Student
AMA-C9480,Li Davis,li.davis636@example.com,New York,NY,US,01/14/2021,Prime Student
AMA-C10469,Wei Kumar,wei.kumar280@example.com,Seattle,WA,US,08/26/2024,Prime Student
AMA-C8911,anna martin,anna.martin13@example.com,chicago,IL,US,10/22/2022,Non-Prime
AMA-C3178,ANNA WANG,anna.wang511@example.com,Chicago,IL,US,2023-11-08,Prime Student
